pre_name,first_name,name
The,Ben,Folds Five
,,U2
,,Franz Ferdinand
,,Nirvana
,Nick,Drake
,Lily,Allen
,,Coldplay
,,Ash
,,Belle & Sebastian
,,Buffalo Tom
,,...And You Will Know Us by the Trail of Dead
,Ryan,Adams
,,Aerosmith
,,Air
,,Ammonia
,Tori,Amos
,Fiona,Apple
,,Arrested Development
,,Augie March
The,,Beach Boys
The,,Beatles
,Billy,Bragg & Wilco
,,Black Rebel Motorcycle Club
,,Blur
,,Bono & Gavin Friday
,David,Bowie
,Jeff,Buckley
The,,Cast of Buffy the Vampire Slayer
,Nick,Cave & The Bad Seeds
,Kasey,Chambers
The,,Clash
,,Clouds
,John,Coltrane
,Shawn,Colvin
,Ry,Cooder
,,Counting Crows
,,Cowboy Junkies
The,,Cranberries
,,Crowded House
The,,Cruel Sea
The,,Cure
The,,Dandy Warhols
,Miles,Davis
,,Depeche Mode
,,Derek and The Dominos
,,Dido
,,Dinosaur Jr.
,,Doves
,Bob,Dylan
,Steve,Earle
,Kathleen,Edwards
,,Elastica
,Brian,Eno & John Cale
,,Falling Joys
,,Fatboy Slim
,,Fountains of Wayne
,,Aretha Franklin
,Peter,Gabriel
,,Garbage
,,Grant Lee Buffalo
,,Green Day
,,"Guns N' Roses"
,,Headless Chickens
The,Jimi,Hendrix Experience
,Jimi,Hendrix
,Missy,Higgins
,,Hole
,,Hugbubble
The,,Hummingbirds
,,Hunters & Collectors
,,INXS
,Chris,Isaak
,,James
The,,Jayhawks
,,Jewel
,Elton,John
,Paul,Kelly & The Messengers
,Paul,Kelly
,Ben,Lee
,,Live
,Alex,Lloyd
,,Madonna
,,Manic Street Preachers
,Aimee,Mann
,Bob,Marley & The Wailers
,,Massive Attack
,,Mazzy Star
,Loreena,McKennitt
,,Metallica
,,Midnight Oil
,,Modest Mouse
,Ennio,Morricone
,Van,Morrison
,,My Bloody Valentine
,,My Morning Jacket
,Youssou,"N'Dour"
,,Nada Surf
,,"Ned's Atomic Dustbin"
,,New Order
,,Nine Inch Nails
,Gregory,North
,,Oasis
,,Oh Laura
,Beth,Orton
,Jimmy,Page & Robert Plant
,,Pearl Jam
,Grant-Lee,Phillips
,,Pink Floyd
The,,Pipettes
,,Pixies
,,Placebo
The,,Pogues
,,Portishead
The,,Postal Service
,,Powderfinger
The,,Presidents of the United States of America
,,Primus
,,Pursuit of Happiness
,,R.E.M.
,,Radiohead
,,Ratcat
,,Red Hot Chili Peppers
The,,Reindeer Section
,,Rhubarb
,,Ride
,,Semisonic
,,Simon & Garfunkel
,,Smashing Pumpkins
,Elliott,Smith
,The,Smiths
,,Sonic Youth
,Dusty,Springfield
,Bruce,Springsteen
,,Stone Roses
,,Stone Temple Pilots
,,Suede
,Matthew,Sweet
,,Talking Heads
,,Teenage Fanclub
,,Third Eye Blind
The,,Thorns
,,Travis
The,,Triffids
,,Various Artists
,Suzanne,Vega
The,,Velvet Underground
,,Waikiki
,Tom,Waits
,Gillian,Welch
The,,White Stripes
,Lucinda,Williams
,,You Am I
,Neil,Young & Crazy Horse
,Neil,Young
,,"Do-Re-Mi"
,Sinead,"O'Connor"
The,,Beta Band
,,13th Floor Elevators
The,,Kinks
,Elvis,"Costello & The Attractions"
,,Stereolab
,Stevie,Wonder
,Johnny,Cash
,Lady,GaGa
,,Divinyls
,,Fleetwood Mac
,,Australian Crawl
,,Feist
,,MGMT
,,Prince
The,,Jesus & Mary Chain
The,,Sundays
,Taylor,Swift
,Dwight,Yoakam  
,,De La Soul
,,"Florence + The Machine"
,Sarah,McLachlan
,Frank,Sinatra
,,Duffy
,,Mumford & Sons
The,,Who
The,,Ting Tings
,,Duran Duran
,Lene,Marlin
,,Nerf Herder
,,Guided By Voices
,,Velvet Chain
,,Hepburn
,,Furslide
,,Bif Naked
,,Black Lab
,,"K's Choice"
,,Superfine
,,Face To Face
,Kim,Ferron
,Alison,Krauss & Union Station
,,Four Star Mary
,,Splendid
,,Rasputina
,Christophe,Beck
,,Yeah Yeah Yeahs
,,Blondie
